No.;Gender;Age;Secundary education;Graduation;First education;Specialization of first education;Second education;Specialization of second education;Third education;Specialization of third education;Total work experience;Experience in public administration;Experience in a municipal institution;Experience in the private sector;Experience in an international organization;Experience relevant to the job role;Native language;Ministry;The industry;Position group;Position;Decision;Year of publication;Duties of the position;Job requirements;Institutions
329;S;n/a;Vispārējā vidējā izglītība;1998;Bakalaurs (profesionālais grāds);Biznesa ekonomikā;n/a;n/a;n/a;n/a;2005;Jā ;Nē;Nē;Nē;18;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Regulāri analizēt valsts finanšu attīstību un sagatavot kvalitatīvus analītiskos materiālus; Piedalīties fiskālo rādītāju prognožu sagatavošanā un nodrošināt atbilstošo sadaļu sagatavošanu stratēģiskajos fiskālās politikas dokumentos; Sadarbībā ar citām Finanšu ministrijas struktūrvienībām un institūcijām veikt vispārējās valdības budžeta bilances novērtējumu atbilstoši Eiropas kontu sistēmas metodoloģijai.";"Augstākā akadēmiskā vai otrā līmeņa augstākā profesionālā izglītība ekonomikā vai vadības zinātnēs; Darba pieredze ekonomikas vai finanšu analīzes jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem pēdējo piecu gadu laikā; Ļoti labas analītiskās prasmes, spēja pamatot iegūtos rezultātus; Ļoti labas MS Excel zināšanas; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām.";Ministry of Finance
330;V;1965;n/a;n/a;Bakalaurs (profesionālais grāds);Inženierzinātņu ekonomikā;Profesionālā augstākā izglītība (2 gadi);Inženiera ekonomista kvalifikācija uzņēmējdarbības ekonomikā;n/a;n/a;2010;Jā ;Nē;Nē;Nē;12;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Regulāri analizēt valsts finanšu attīstību un sagatavot kvalitatīvus analītiskos materiālus; Piedalīties fiskālo rādītāju prognožu sagatavošanā un nodrošināt atbilstošo sadaļu sagatavošanu stratēģiskajos fiskālās politikas dokumentos; Sadarbībā ar citām Finanšu ministrijas struktūrvienībām un institūcijām veikt vispārējās valdības budžeta bilances novērtējumu atbilstoši Eiropas kontu sistēmas metodoloģijai.";"Augstākā akadēmiskā vai otrā līmeņa augstākā profesionālā izglītība ekonomikā vai vadības zinātnēs; Darba pieredze ekonomikas vai finanšu analīzes jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem pēdējo piecu gadu laikā; Ļoti labas analītiskās prasmes, spēja pamatot iegūtos rezultātus; Ļoti labas MS Excel zināšanas; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām.";Ministry of Finance
331;S;1998;n/a;n/a;Bakalaurs (profesionālais grāds);Starptautisko ekonomisko sakaru organizēšanā un vadīšanā;n/a;n/a;n/a;n/a;2022;Nē;Nē;Jā;Nē;n/a;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Regulāri analizēt valsts finanšu attīstību un sagatavot kvalitatīvus analītiskos materiālus; Piedalīties fiskālo rādītāju prognožu sagatavošanā un nodrošināt atbilstošo sadaļu sagatavošanu stratēģiskajos fiskālās politikas dokumentos; Sadarbībā ar citām Finanšu ministrijas struktūrvienībām un institūcijām veikt vispārējās valdības budžeta bilances novērtējumu atbilstoši Eiropas kontu sistēmas metodoloģijai.";"Augstākā akadēmiskā vai otrā līmeņa augstākā profesionālā izglītība ekonomikā vai vadības zinātnēs; Darba pieredze ekonomikas vai finanšu analīzes jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem pēdējo piecu gadu laikā; Ļoti labas analītiskās prasmes, spēja pamatot iegūtos rezultātus; Ļoti labas MS Excel zināšanas; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām.";Ministry of Finance
332;S;1978;n/a;n/a;Bakalaurs (profesionālais grāds);Pamatdarbības struktūrvienības vadītājs;n/a;n/a;n/a;n/a;2005;Nē;Jā;Nē;Nē;n/a;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Regulāri analizēt valsts finanšu attīstību un sagatavot kvalitatīvus analītiskos materiālus; Piedalīties fiskālo rādītāju prognožu sagatavošanā un nodrošināt atbilstošo sadaļu sagatavošanu stratēģiskajos fiskālās politikas dokumentos; Sadarbībā ar citām Finanšu ministrijas struktūrvienībām un institūcijām veikt vispārējās valdības budžeta bilances novērtējumu atbilstoši Eiropas kontu sistēmas metodoloģijai.";"Augstākā akadēmiskā vai otrā līmeņa augstākā profesionālā izglītība ekonomikā vai vadības zinātnēs; Darba pieredze ekonomikas vai finanšu analīzes jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem pēdējo piecu gadu laikā; Ļoti labas analītiskās prasmes, spēja pamatot iegūtos rezultātus; Ļoti labas MS Excel zināšanas; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām.";Ministry of Finance
333;S;1995;n/a;n/a;Bakalaurs;Banku speciālista kvalifikācija;n/a;n/a;n/a;n/a;2017;Nē;Nē;Jā;Nē;n/a;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
334;S;1994;n/a;n/a;Koledžas izglītība;Personāla psiholoģijā un cilvēkresursu vadībā;n/a;n/a;n/a;n/a;2020;Nē;Jā;Nē;Nē;n/a;RU;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
335;S;n/a;n/a;n/a;Bakalaurs;Politoloģijā;Maģistrs;Politikas zinātnē;n/a;n/a;2014;Jā;Nē;Jā;Nē;2;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
336;V;n/a;Vispārējā vidējā izglītība;1995.;Bakalaurs (profesionālais grāds);Ekonomikā;Maģistrs;Uzņēmējdarbības vadībā;n/a;n/a;2000;Jā ;Nē;Jā;Nē;7;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
337;V;1989;;;Bakalaurs (profesionālais grāds);Muitas un nodokļu administrēšanā;Maģistrs (profesionālais grāds);Muitas un nodokļu administrēšanā;n/a;n/a;2013;Jā ;Nē;Jā;Nē;8;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
338;V;1965;n/a;n/a;Bakalaurs (profesionālais grāds);Inženierzinātņu ekonomikā;Profesionālā augstākā izglītība (2 gadi);Inženiera ekonomista kvalifikācija uzņēmējdarbības ekonomikā;n/a;n/a;2010;Jā ;Nē;Nē;Nē;12;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
339;V;n/a;n/a;n/a;Bakalaurs;Jurista kvalifikācija;n/a;n/a;n/a;n/a;1996;Jā ;Nē;Jā;Nē;1;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
340;S;1976;n/a;n/a;Bakalaurs;Ekonomikā;n/a;n/a;n/a;n/a;2006;Jā ;Nē;Jā;Nē;4;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
341;S;1999;n/a;n/a;Bakalaurs;Tirgzinībās un reklāmā;n/a;n/a;n/a;n/a;2021;Nē;Nē;Jā;Nē;n/a;RU;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
342;S;1999;n/a;n/a;Bakalaurs (profesionālais grāds);Tūrisma organizācijā un vadībā;n/a;n/a;n/a;n/a;2022;Nē;Nē;Jā;Nē;n/a;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;noraidīts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
343;V;1988;n/a;n/a;Bakalaurs (profesionālais grāds);Muitas un nodokļu administrēšanā;n/a;n/a;n/a;n/a;2005;Jā ;Nē;Jā;Nē;8;RU;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;izvēlēts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
344;S;1979;n/a;n/a;Bakalaurs (akadēmiskais grāds);Vadībzinātnē;Maģistrs (akadēmiskais grāds);Ekonomikā;n/a;n/a;2003;Jā;Nē;Nē;Nē;13;LV;FM;Finanšu;Politikas plānotājs;Vecākais eksperts;izvēlēts;2023;"Izstrādāt nodokļu un nodevu vispārējo administrēšanas procesu regulējošu politikas dokumentu projektus, likumprojektus un citus tiesību aktu projektus; Izvērtēt nodokļu maksātāju sūdzības saistībā ar Valsts ieņēmumu dienesta darbu no vispārējiem nodokļu administrēšanas procesa aspektiem normatīvā regulējuma ietvaros un sagatavot atbildes; Sniegt atzinumus par citu institūciju izstrādātajiem tiesību aktu un politikas plānošanas dokumentu projektiem, kā arī sniegt tiesisko palīdzību uzziņas saistībā ar nodaļas kompetencē esošiem jautājumiem sagatavošanā; Nodrošināt nodaļas kompetences jautājumu pārstāvēšanu Saeimas komisiju sēdēs, Ministru kabineta un Ministru kabineta komiteju sēdēs, Valsts sekretāru sanāksmēs, starptautiskajās organizācijās (Ekonomiskās sadarbības un attīstības organizācijas darba grupās) un Eiropas Savienības institūcijās, kā arī darba grupās un padomēs.";"Augstākā akadēmiskā vai augstākā profesionālā izglītība ekonomikā, finansēs, vadības vai tiesību zinātnē; Praktiskā un/vai teorētiskā darba pieredze nodokļu administrēšanas jomā; Pieredze darbā valsts pārvaldē ilgāka par trīs gadiem; Zināšanas nodokļu administrēšanas, tostarp nodokļu nomaksas kontroles procesa jautājumos; Pieredze nodokļu administrēšanas procesa pilnveidošanas jautājumos, tostarp, kas saistīti ar labprātīgu nodokļu saistību izpildes veicināšanu; Spēja analizēt liela apjoma informāciju īsos termiņos paaugstināta stresa apstākļos; Darba organizēšanas un koordinācijas prasmes; Labas angļu valodas zināšanas; Atbilstība Valsts civildienesta likuma 7. panta prasībām";Ministry of Finance
